transaction_id,customer_id,amount_inr,previous_success_rate,previous_failures,days_since_last_payment,customer_tenure_days,is_returning_customer,checkout_time_sec,payment_method,failure_reason,retry_count,action,recovered,recovered_amount,recovery_probability_true
TX000040,C00040,14093,0.319,3,47,1067,0,48,Card,timeout,0,payment_link,0,0,0.4329
TX000041,C00041,6616,0.443,0,149,683,1,410,UPI,technical_error,1,retry,1,6616,0.4176
TX000042,C00042,25383,0.415,3,85,639,0,164,UPI,technical_error,1,payment_link,1,25383,0.2647
TX000043,C00043,4974,0.748,0,143,335,1,148,UPI,bank_decline,0,reminder,1,4974,0.5295
TX000044,C00044,25751,0.306,2,3,700,1,183,NetBanking,technical_error,2,payment_link,0,0,0.2227
TX000045,C00045,18453,0.989,3,58,771,1,394,UPI,insufficient_funds,1,payment_link,1,18453,0.6131
TX000046,C00046,3618,0.293,5,32,1399,0,163,Card,bank_decline,1,reminder,1,3618,0.2776
TX000047,C00047,1509,0.623,5,105,640,0,117,Card,technical_error,2,reminder,0,0,0.2884
TX000048,C00048,13453,0.763,5,70,474,0,264,Card,bank_decline,0,retry,1,13453,0.4798
TX000049,C00049,1263,0.959,0,74,1123,0,389,NetBanking,technical_error,2,payment_link,1,1263,0.4035
TX000050,C00050,4418,0.691,2,48,1105,0,219,UPI,insufficient_funds,0,retry,0,0,0.3758
TX000051,C00051,15543,0.884,4,162,1054,0,181,UPI,technical_error,0,reminder,1,15543,0.4053
TX000052,C00052,29113,0.625,1,164,1055,1,32,UPI,bank_decline,0,reminder,0,0,0.3985
TX000053,C00053,14092,0.377,2,4,847,1,101,NetBanking,timeout,0,retry,0,0,0.5492
TX000054,C00054,24291,0.537,0,165,325,0,154,UPI,technical_error,0,retry,0,0,0.3332
TX000055,C00055,27531,0.686,1,70,325,1,67,NetBanking,technical_error,0,retry,1,27531,0.542
TX000056,C00056,24739,0.625,1,22,465,1,18,UPI,insufficient_funds,1,payment_link,0,0,0.486
TX000057,C00057,18950,0.826,3,100,95,0,127,Card,authentication_failed,1,reminder,1,18950,0.3655
TX000058,C00058,13353,0.632,3,56,256,0,101,UPI,bank_decline,0,payment_link,1,13353,0.4435
TX000059,C00059,15520,0.507,2,177,1151,0,227,UPI,insufficient_funds,0,reminder,0,0,0.2999
TX000060,C00060,8134,0.612,0,6,251,0,248,NetBanking,insufficient_funds,1,payment_link,1,8134,0.4488
TX000061,C00061,15006,0.616,2,171,286,1,140,NetBanking,authentication_failed,2,reminder,1,15006,0.2725
TX000062,C00062,11505,0.208,1,61,130,1,31,Card,timeout,2,reminder,1,11505,0.2522
TX000063,C00063,7575,0.463,5,104,1165,1,180,NetBanking,technical_error,1,reminder,0,0,0.4293
TX000064,C00064,29798,0.658,3,56,775,0,97,NetBanking,bank_decline,0,retry,1,29798,0.385
TX000065,C00065,551,0.77,3,149,316,0,303,UPI,bank_decline,0,retry,0,0,0.4534
TX000066,C00066,3096,0.542,4,160,813,1,122,UPI,authentication_failed,1,payment_link,1,3096,0.4494
TX000067,C00067,5933,0.797,4,61,535,1,403,UPI,bank_decline,0,retry,1,5933,0.6194
TX000068,C00068,29076,0.603,3,123,856,0,91,UPI,insufficient_funds,1,retry,0,0,0.1125
TX000069,C00069,20822,0.496,0,18,584,1,411,UPI,technical_error,2,payment_link,1,20822,0.2956
TX000070,C00070,26478,0.394,2,130,1006,0,163,NetBanking,authentication_failed,0,retry,0,0,0.1044
TX000071,C00071,6178,0.838,5,69,44,1,299,Card,authentication_failed,1,payment_link,1,6178,0.5999
TX000072,C00072,21685,0.938,2,28,644,1,152,UPI,bank_decline,1,payment_link,0,0,0.4859
TX000073,C00073,11212,0.783,1,37,249,0,410,UPI,insufficient_funds,2,payment_link,1,11212,0.3744
TX000074,C00074,14772,0.376,4,155,906,1,116,NetBanking,authentication_failed,1,payment_link,0,0,0.3562
TX000075,C00075,311,0.765,3,55,1023,1,277,UPI,technical_error,1,retry,0,0,0.613
TX000076,C00076,18602,0.604,0,31,572,0,77,NetBanking,technical_error,0,retry,0,0,0.4547
TX000077,C00077,24935,0.94,0,98,311,1,40,UPI,bank_decline,1,reminder,1,24935,0.4935
TX000078,C00078,19977,0.205,2,163,1165,0,256,Card,technical_error,1,payment_link,0,0,0.1475
TX000079,C00079,4802,0.818,1,59,453,1,415,UPI,timeout,1,payment_link,1,4802,0.5998
TX000080,C00080,16107,0.573,1,171,1304,0,205,UPI,timeout,2,payment_link,0,0,0.196
TX000081,C00081,8174,0.885,2,88,365,1,402,UPI,timeout,2,payment_link,0,0,0.4951
TX000082,C00082,28953,0.685,2,11,808,1,217,NetBanking,timeout,0,payment_link,1,28953,0.576
TX000083,C00083,26433,0.206,4,131,137,0,288,NetBanking,bank_decline,0,reminder,1,26433,0.1719
TX000084,C00084,5749,0.753,5,163,771,1,176,UPI,technical_error,0,reminder,0,0,0.5278
TX000085,C00085,15391,0.627,4,157,605,0,184,UPI,insufficient_funds,0,payment_link,1,15391,0.454
TX000086,C00086,28204,0.391,2,52,787,1,99,UPI,technical_error,0,reminder,0,0,0.4167
TX000087,C00087,25445,0.298,2,104,1062,0,163,Card,timeout,0,payment_link,0,0,0.3817
TX000088,C00088,21296,0.519,2,178,524,0,198,UPI,insufficient_funds,0,retry,0,0,0.1801
TX000089,C00089,19263,0.649,1,151,1171,0,253,UPI,bank_decline,1,payment_link,0,0,0.2347
TX000090,C00090,1455,0.583,2,153,1060,0,183,UPI,timeout,1,reminder,0,0,0.2874
TX000091,C00091,22304,0.214,3,123,139,1,125,Card,authentication_failed,2,retry,0,0,0.0507
TX000092,C00092,14310,0.318,4,26,957,0,391,Card,insufficient_funds,2,retry,0,0,0.1118
TX000093,C00093,2926,0.745,2,145,1471,1,319,Card,authentication_failed,0,retry,0,0,0.3969
TX000094,C00094,7485,0.637,2,9,710,0,80,UPI,bank_decline,1,retry,1,7485,0.4084
TX000095,C00095,16326,0.794,0,136,408,1,348,Card,insufficient_funds,2,reminder,0,0,0.317
TX000096,C00096,21858,0.532,1,17,158,1,86,NetBanking,technical_error,2,reminder,1,21858,0.3015
TX000097,C00097,15331,0.406,4,142,1240,0,88,UPI,insufficient_funds,0,reminder,1,15331,0.2724
TX000098,C00098,18465,0.839,5,30,839,1,364,Card,technical_error,2,payment_link,1,18465,0.4011
TX000099,C00099,26165,0.375,4,9,289,0,290,Card,technical_error,2,retry,0,0,0.2403
TX000100,C00100,20643,0.248,0,54,395,0,101,UPI,timeout,2,payment_link,0,0,0.1669
TX000101,C00101,10965,0.495,1,110,887,0,21,UPI,authentication_failed,2,reminder,1,10965,0.2147
TX000102,C00102,19368,0.561,0,131,234,1,128,UPI,authentication_failed,0,retry,1,19368,0.2796
TX000103,C00103,18025,0.367,0,53,1011,0,92,UPI,technical_error,0,payment_link,1,18025,0.3907
TX000104,C00104,3425,0.964,5,11,1039,0,396,UPI,bank_decline,0,reminder,1,3425,0.5562
TX000105,C00105,1965,0.385,4,23,710,1,207,UPI,bank_decline,1,reminder,0,0,0.4299
TX000106,C00106,19872,0.298,2,106,804,0,131,UPI,insufficient_funds,0,retry,0,0,0.204
TX000107,C00107,11751,0.729,4,155,650,1,414,UPI,authentication_failed,1,payment_link,1,11751,0.4671
TX000108,C00108,18030,0.315,4,163,716,0,409,Card,insufficient_funds,2,payment_link,0,0,0.1361
TX000109,C00109,9826,0.424,0,118,831,1,339,UPI,timeout,2,reminder,1,9826,0.3194
TX000110,C00110,6924,0.531,4,74,355,1,104,UPI,technical_error,2,reminder,0,0,0.361
TX000111,C00111,4675,0.419,2,111,469,0,62,UPI,insufficient_funds,0,reminder,0,0,0.3986
TX000112,C00112,11571,0.723,4,176,289,0,130,UPI,bank_decline,0,reminder,0,0,0.3762
TX000113,C00113,24526,0.312,4,173,773,1,107,NetBanking,timeout,2,retry,0,0,0.2893
TX000114,C00114,12149,0.715,1,40,1302,0,185,Wallet,technical_error,0,retry,0,0,0.5116
TX000115,C00115,11507,0.293,1,58,255,1,282,Card,authentication_failed,1,retry,1,11507,0.256
TX000116,C00116,17346,0.664,2,148,629,1,183,NetBanking,timeout,2,payment_link,0,0,0.3165
TX000117,C00117,29366,0.983,4,9,946,1,122,UPI,authentication_failed,0,reminder,1,29366,0.5778
TX000118,C00118,11888,0.83,5,117,256,0,416,UPI,timeout,0,payment_link,1,11888,0.5848
TX000119,C00119,17781,0.957,0,23,1354,0,150,NetBanking,insufficient_funds,0,retry,0,0,0.3968
TX000120,C00120,13296,0.637,2,97,1290,1,22,NetBanking,authentication_failed,0,retry,0,0,0.4052
TX000121,C00121,18230,0.327,3,135,1309,0,36,UPI,insufficient_funds,1,retry,0,0,0.0786
TX000122,C00122,13482,0.496,4,6,325,1,215,UPI,technical_error,1,payment_link,0,0,0.435
TX000123,C00123,19212,0.821,1,109,58,0,263,Card,authentication_failed,1,payment_link,0,0,0.443
TX000124,C00124,16505,0.306,3,104,562,1,116,Card,timeout,2,retry,0,0,0.3997
TX000125,C00125,20358,0.731,4,32,1410,1,89,Card,insufficient_funds,0,retry,1,20358,0.4232
TX000126,C00126,28711,0.458,3,12,883,0,79,UPI,authentication_failed,0,payment_link,0,0,0.4134
TX000127,C00127,4693,0.934,0,15,301,1,255,Card,authentication_failed,0,retry,1,4693,0.5227
TX000128,C00128,16936,0.48,0,113,543,1,114,Wallet,insufficient_funds,1,payment_link,1,16936,0.4767
TX000129,C00129,13321,0.458,4,112,498,0,233,UPI,bank_decline,0,retry,1,13321,0.395
TX000130,C00130,10868,0.418,2,94,1326,0,370,UPI,insufficient_funds,0,reminder,1,10868,0.3736
TX000131,C00131,7339,0.632,2,85,999,0,293,NetBanking,bank_decline,0,retry,0,0,0.4676
TX000132,C00132,1757,0.962,2,11,134,0,202,UPI,insufficient_funds,0,retry,1,1757,0.4623
TX000133,C00133,12194,0.632,4,39,1036,1,206,UPI,technical_error,2,retry,1,12194,0.4682
TX000134,C00134,24819,0.793,3,164,1494,0,114,UPI,insufficient_funds,0,reminder,0,0,0.3428
TX000135,C00135,3081,0.616,0,82,407,0,96,UPI,bank_decline,2,retry,0,0,0.3602
TX000136,C00136,12301,0.266,0,85,1006,1,73,Card,authentication_failed,0,payment_link,1,12301,0.5253
TX000137,C00137,29041,0.669,5,131,1239,0,260,UPI,authentication_failed,2,payment_link,1,29041,0.1712
TX000138,C00138,28553,0.675,0,69,1099,0,45,UPI,authentication_failed,1,reminder,0,0,0.2848
TX000139,C00139,6607,0.677,3,31,1463,1,387,UPI,technical_error,1,reminder,1,6607,0.4931
TX000140,C00140,426,0.439,0,38,58,0,250,UPI,insufficient_funds,2,reminder,0,0,0.2412
TX000141,C00141,20218,0.413,0,92,1495,0,190,Card,insufficient_funds,1,retry,0,0,0.1748
TX000142,C00142,625,0.463,0,179,1286,0,177,UPI,timeout,0,reminder,1,625,0.3471
TX000143,C00143,9152,0.225,5,176,946,0,81,Card,technical_error,1,payment_link,0,0,0.1964
TX000144,C00144,15012,0.329,0,152,536,0,399,NetBanking,timeout,2,payment_link,0,0,0.1321
TX000145,C00145,26247,0.43,1,1,1454,1,111,UPI,bank_decline,1,reminder,1,26247,0.3454
TX000146,C00146,2967,0.61,3,8,89,0,370,NetBanking,technical_error,0,payment_link,1,2967,0.5189
TX000147,C00147,19933,0.929,2,178,1156,1,227,Card,timeout,2,payment_link,1,19933,0.3804
TX000148,C00148,16084,0.761,0,71,277,0,300,UPI,bank_decline,0,payment_link,1,16084,0.4687
TX000149,C00149,4122,0.613,2,25,190,0,196,UPI,authentication_failed,1,retry,0,0,0.2752
TX000150,C00150,25399,0.773,2,108,373,0,321,Card,technical_error,0,retry,1,25399,0.4748
TX000151,C00151,25383,0.556,4,92,566,0,317,UPI,bank_decline,0,payment_link,0,0,0.3741
TX000152,C00152,14584,0.238,0,145,1474,1,26,Card,technical_error,1,payment_link,0,0,0.2783
TX000153,C00153,28359,0.749,4,149,659,1,74,UPI,authentication_failed,1,retry,0,0,0.2363
TX000154,C00154,18284,0.764,2,143,338,1,205,UPI,bank_decline,0,payment_link,1,18284,0.4808
TX000155,C00155,27136,0.724,0,32,708,1,146,UPI,timeout,2,payment_link,0,0,0.3742
TX000156,C00156,28825,0.882,3,147,702,1,186,UPI,technical_error,0,reminder,0,0,0.4717
TX000157,C00157,17177,0.825,5,150,291,0,294,UPI,bank_decline,0,retry,0,0,0.4023
TX000158,C00158,8569,0.863,2,18,269,1,203,UPI,technical_error,0,payment_link,1,8569,0.6674
TX000159,C00159,4534,0.237,0,55,583,1,135,Card,technical_error,2,retry,0,0,0.3882
TX000160,C00160,16972,1.0,4,175,1391,0,286,UPI,timeout,0,reminder,1,16972,0.4321
TX000161,C00161,5935,0.671,4,86,803,1,164,UPI,technical_error,1,reminder,1,5935,0.4941
TX000162,C00162,22556,0.674,0,81,1005,0,309,Card,technical_error,0,reminder,1,22556,0.3985
TX000163,C00163,27851,0.691,0,128,1073,1,382,UPI,bank_decline,2,retry,0,0,0.3021
TX000164,C00164,7514,0.416,0,14,1360,1,304,Card,bank_decline,0,payment_link,1,7514,0.5064
TX000165,C00165,16659,0.442,2,154,838,0,17,UPI,authentication_failed,2,payment_link,1,16659,0.1571
TX000166,C00166,1665,0.902,4,71,924,1,45,UPI,timeout,0,retry,1,1665,0.7459
TX000167,C00167,5580,0.68,0,22,58,0,415,UPI,bank_decline,0,retry,1,5580,0.4881
TX000168,C00168,11439,0.968,4,19,695,0,44,UPI,timeout,1,retry,1,11439,0.5653
TX000169,C00169,26544,0.367,4,15,856,0,199,UPI,timeout,2,payment_link,0,0,0.1766
TX000170,C00170,29091,0.668,1,144,222,1,174,UPI,timeout,2,retry,0,0,0.3707
TX000171,C00171,19318,0.68,2,106,1150,1,24,Card,bank_decline,0,reminder,1,19318,0.5331
TX000172,C00172,17586,0.23,0,6,1186,0,282,UPI,timeout,2,reminder,0,0,0.1141
TX000173,C00173,17176,0.701,3,41,1470,0,186,Card,technical_error,2,payment_link,0,0,0.2676
TX000174,C00174,2006,0.507,4,56,227,1,384,Card,bank_decline,2,reminder,0,0,0.3739
TX000175,C00175,11413,0.544,5,31,322,0,40,UPI,bank_decline,1,reminder,0,0,0.3167
TX000176,C00176,29503,0.348,4,167,107,1,317,UPI,authentication_failed,1,reminder,0,0,0.2294
TX000177,C00177,12446,0.676,4,94,582,1,335,NetBanking,insufficient_funds,2,reminder,1,12446,0.3795
TX000178,C00178,6556,0.739,0,127,747,1,417,UPI,timeout,1,reminder,1,6556,0.4307
TX000179,C00179,7336,0.914,1,162,217,0,259,NetBanking,timeout,1,retry,1,7336,0.4866
TX000180,C00180,21458,0.873,3,125,571,1,175,UPI,insufficient_funds,1,reminder,0,0,0.4086
TX000181,C00181,1334,0.984,2,152,1431,0,281,Card,authentication_failed,1,payment_link,0,0,0.4802
TX000182,C00182,29088,0.981,5,154,1448,1,204,NetBanking,timeout,0,retry,1,29088,0.5783
TX000183,C00183,26311,0.76,3,168,977,1,209,NetBanking,bank_decline,1,payment_link,0,0,0.3376
TX000184,C00184,17112,0.425,1,99,1251,0,278,UPI,technical_error,2,reminder,0,0,0.1706
TX000185,C00185,14138,0.632,2,120,887,0,196,Card,technical_error,1,retry,0,0,0.4204
TX000186,C00186,22890,0.267,5,27,1311,1,165,UPI,insufficient_funds,1,reminder,1,22890,0.3132
TX000187,C00187,16519,0.653,0,90,547,0,22,UPI,insufficient_funds,0,payment_link,1,16519,0.5368
TX000188,C00188,14420,0.444,0,45,1137,1,34,UPI,timeout,0,retry,1,14420,0.5666
TX000189,C00189,9800,0.629,2,31,482,1,364,Card,insufficient_funds,1,payment_link,0,0,0.5469
TX000190,C00190,13512,0.8,0,78,1233,1,53,Card,bank_decline,2,retry,1,13512,0.47
TX000191,C00191,22589,0.249,1,136,1144,0,88,NetBanking,technical_error,0,payment_link,0,0,0.2594
TX000192,C00192,1841,0.901,3,10,809,1,83,NetBanking,bank_decline,2,reminder,1,1841,0.4849
TX000193,C00193,950,0.23,1,107,551,0,262,UPI,insufficient_funds,1,reminder,1,950,0.2706
TX000194,C00194,21667,0.592,3,157,1192,1,376,UPI,insufficient_funds,0,retry,0,0,0.2991
TX000195,C00195,11291,0.375,0,160,1451,0,266,Card,timeout,0,payment_link,1,11291,0.3798
TX000196,C00196,24151,0.231,3,135,1063,1,35,NetBanking,technical_error,0,reminder,1,24151,0.3081
TX000197,C00197,1104,0.584,0,91,1246,1,93,Wallet,insufficient_funds,1,payment_link,0,0,0.5691
TX000198,C00198,27234,0.41,4,52,156,1,114,Card,authentication_failed,2,payment_link,0,0,0.2859
TX000199,C00199,3862,0.264,5,78,1201,0,18,UPI,technical_error,2,payment_link,0,0,0.1985
TX000200,C00200,12590,0.86,4,85,212,0,405,UPI,technical_error,2,reminder,0,0,0.3104
TX000201,C00201,29021,0.396,2,139,1051,1,326,UPI,timeout,0,retry,0,0,0.4148
TX000202,C00202,3433,0.951,4,8,1132,0,38,UPI,timeout,2,reminder,0,0,0.3725
TX000203,C00203,19801,0.687,4,2,257,0,351,Card,authentication_failed,1,retry,0,0,0.2332
TX000204,C00204,21890,0.484,5,17,1187,0,312,UPI,bank_decline,0,reminder,1,21890,0.348
TX000205,C00205,12960,0.248,4,156,850,1,319,Card,bank_decline,0,retry,1,12960,0.3576
TX000206,C00206,2554,0.884,1,109,1329,0,378,UPI,insufficient_funds,0,retry,0,0,0.4373
TX000207,C00207,15807,0.287,5,121,808,0,142,Wallet,bank_decline,0,reminder,0,0,0.2371
TX000208,C00208,13113,0.821,1,92,605,1,283,Card,technical_error,1,retry,0,0,0.5774
TX000209,C00209,26209,0.623,3,43,333,0,276,UPI,insufficient_funds,1,retry,0,0,0.2096
TX000210,C00210,20531,0.564,0,136,73,1,67,UPI,authentication_failed,0,reminder,0,0,0.4158
TX000211,C00211,10457,0.264,5,159,1268,1,53,Card,authentication_failed,2,payment_link,0,0,0.2321
TX000212,C00212,1929,0.536,2,21,1330,1,230,Card,insufficient_funds,0,retry,0,0,0.4424
TX000213,C00213,17790,0.213,0,15,508,0,316,UPI,technical_error,1,payment_link,1,17790,0.2385
TX000214,C00214,8531,0.811,5,12,1050,0,416,UPI,authentication_failed,0,retry,0,0,0.373
TX000215,C00215,20573,0.766,1,176,1477,1,385,UPI,bank_decline,1,retry,0,0,0.4122
TX000216,C00216,25941,0.309,4,47,1188,0,188,UPI,authentication_failed,1,payment_link,0,0,0.2728
TX000217,C00217,10791,0.608,3,66,943,0,136,UPI,bank_decline,1,reminder,1,10791,0.3371
TX000218,C00218,27120,0.342,1,178,1333,1,332,Card,technical_error,1,payment_link,0,0,0.2573
TX000219,C00219,15669,0.77,2,76,669,0,318,UPI,insufficient_funds,1,reminder,1,15669,0.3629
TX000220,C00220,16018,0.351,2,85,676,0,354,NetBanking,insufficient_funds,0,payment_link,1,16018,0.4542
TX000221,C00221,23004,0.338,1,67,1153,1,30,Card,timeout,0,retry,1,23004,0.5026
TX000222,C00222,23716,0.427,3,98,602,1,36,NetBanking,technical_error,2,reminder,0,0,0.2647
TX000223,C00223,27293,0.977,2,7,658,0,241,UPI,bank_decline,1,reminder,1,27293,0.3744
TX000224,C00224,29975,0.855,2,170,728,1,93,Card,bank_decline,2,retry,0,0,0.3395
TX000225,C00225,4701,0.523,2,94,1456,1,264,NetBanking,authentication_failed,1,reminder,1,4701,0.4576
TX000226,C00226,12495,0.836,2,80,886,0,231,NetBanking,authentication_failed,2,retry,1,12495,0.2441
TX000227,C00227,28015,0.489,5,46,494,0,325,UPI,bank_decline,2,retry,0,0,0.2249
TX000228,C00228,9368,0.35,5,19,330,1,89,UPI,technical_error,2,reminder,1,9368,0.3005
TX000229,C00229,354,0.918,2,132,914,1,177,NetBanking,technical_error,1,payment_link,1,354,0.5256
TX000230,C00230,17367,0.229,0,49,1050,0,203,UPI,technical_error,0,retry,0,0,0.3547
TX000231,C00231,22638,0.835,5,14,200,0,276,NetBanking,timeout,2,retry,1,22638,0.4232
TX000232,C00232,22344,0.968,0,118,1255,0,75,UPI,insufficient_funds,0,reminder,0,0,0.4817
TX000233,C00233,24353,0.267,1,7,835,0,175,NetBanking,bank_decline,1,payment_link,0,0,0.1873
TX000234,C00234,19386,0.887,5,50,186,1,393,UPI,timeout,0,retry,1,19386,0.6708
TX000235,C00235,4275,0.824,5,86,367,1,303,UPI,bank_decline,0,payment_link,1,4275,0.6336
TX000236,C00236,25444,0.234,5,143,626,0,345,UPI,bank_decline,1,retry,0,0,0.1437
TX000237,C00237,12683,0.555,4,162,802,1,242,Card,technical_error,0,reminder,0,0,0.4447
TX000238,C00238,25452,0.408,4,132,980,0,288,Wallet,timeout,1,payment_link,0,0,0.2224
TX000239,C00239,24494,0.507,1,34,660,0,195,UPI,bank_decline,1,payment_link,0,0,0.254
TX000240,C00240,29118,0.505,4,7,853,1,302,Card,technical_error,0,retry,1,29118,0.4849
TX000241,C00241,625,0.516,4,3,42,0,229,UPI,insufficient_funds,2,retry,0,0,0.222
TX000242,C00242,26012,0.208,5,3,339,1,285,UPI,technical_error,0,payment_link,1,26012,0.4142
TX000243,C00243,18928,0.417,4,119,1041,0,102,UPI,technical_error,0,retry,0,0,0.401
TX000244,C00244,14663,0.432,1,82,1019,1,382,UPI,timeout,2,reminder,0,0,0.3023
TX000245,C00245,23832,0.719,4,127,377,1,167,NetBanking,authentication_failed,0,payment_link,1,23832,0.526
TX000246,C00246,28575,0.757,3,35,863,0,305,Card,authentication_failed,1,reminder,0,0,0.3077
TX000247,C00247,15487,0.8,5,176,65,1,285,UPI,insufficient_funds,0,payment_link,0,0,0.6021
TX000248,C00248,2806,0.71,2,114,81,1,132,UPI,insufficient_funds,0,retry,1,2806,0.4876
TX000249,C00249,21830,0.915,2,136,717,0,183,Card,insufficient_funds,2,payment_link,0,0,0.2889
TX000250,C00250,7073,0.645,3,122,1253,0,289,UPI,authentication_failed,2,reminder,0,0,0.1923
TX000251,C00251,6947,0.451,2,164,427,1,61,NetBanking,bank_decline,1,reminder,0,0,0.3485
TX000252,C00252,5948,0.232,3,92,353,0,407,UPI,authentication_failed,2,reminder,1,5948,0.1612
TX000253,C00253,6115,0.781,1,127,1417,1,389,UPI,technical_error,0,payment_link,0,0,0.5742
TX000254,C00254,27317,0.65,5,124,1347,1,247,UPI,bank_decline,2,retry,0,0,0.2927
TX000255,C00255,11021,0.331,2,102,1096,0,163,UPI,technical_error,2,retry,1,11021,0.2886
TX000256,C00256,3363,0.609,3,131,1281,0,216,UPI,timeout,1,retry,1,3363,0.4171
TX000257,C00257,5546,0.955,5,151,1390,0,125,UPI,insufficient_funds,2,payment_link,1,5546,0.3652
TX000258,C00258,11964,0.684,0,41,270,0,48,NetBanking,bank_decline,2,reminder,1,11964,0.2637
TX000259,C00259,10512,0.447,3,108,934,0,418,UPI,authentication_failed,2,reminder,0,0,0.2031
TX000260,C00260,9442,0.845,1,96,878,1,159,NetBanking,bank_decline,0,reminder,1,9442,0.6188
TX000261,C00261,28454,0.516,4,124,582,1,250,UPI,authentication_failed,0,retry,0,0,0.2307
TX000262,C00262,26023,0.212,4,21,936,0,269,Card,authentication_failed,0,reminder,0,0,0.2553
TX000263,C00263,17285,0.264,5,129,277,1,321,Card,authentication_failed,0,retry,0,0,0.2048
TX000264,C00264,29595,0.969,1,176,1072,1,21,NetBanking,insufficient_funds,1,reminder,0,0,0.4029
TX000265,C00265,10334,0.275,3,121,1336,0,274,Card,technical_error,2,retry,0,0,0.1957
